Size,Threshold,Random,ReverseSorted,NearlySorted
500,5,0.055,0.036,0.016
500,10,0.035,0.022,0.010
500,15,0.035,0.022,0.010
500,20,0.034,0.027,0.009
500,25,0.031,0.023,0.009
500,30,0.031,0.026,0.009
500,35,0.040,0.031,0.008
500,40,0.032,0.031,0.008
500,45,0.033,0.030,0.008
500,50,0.030,0.034,0.008
600,5,0.046,0.025,0.014
600,10,0.043,0.026,0.014
600,15,0.043,0.026,0.014
600,20,0.043,0.031,0.013
600,25,0.056,0.030,0.013
600,30,0.040,0.031,0.013
600,35,0.040,0.030,0.013
600,40,0.043,0.042,0.012
600,45,0.042,0.042,0.012
600,50,0.040,0.055,0.017
700,5,0.058,0.030,0.018
700,10,0.056,0.032,0.018
700,15,0.051,0.032,0.018
700,20,0.053,0.036,0.017
700,25,0.053,0.038,0.016
700,30,0.058,0.043,0.019
700,35,0.049,0.038,0.016
700,40,0.048,0.038,0.016
700,45,0.054,0.059,0.015
700,50,0.054,0.057,0.015
800,5,0.069,0.038,0.021
800,10,0.064,0.034,0.021
800,15,0.060,0.037,0.020
800,20,0.059,0.038,0.020
800,25,0.059,0.047,0.019
800,30,0.065,0.047,0.019
800,35,0.062,0.049,0.018
800,40,0.059,0.046,0.018
800,45,0.058,0.049,0.019
800,50,0.078,0.087,0.023
900,5,0.079,0.044,0.027
900,10,0.076,0.041,0.027
900,15,0.075,0.046,0.025
900,20,0.071,0.045,0.026
900,25,0.069,0.046,0.025
900,30,0.070,0.059,0.024
900,35,0.072,0.062,0.024
900,40,0.069,0.056,0.024
900,45,0.069,0.056,0.023
900,50,0.070,0.061,0.024
1000,5,0.088,0.045,0.028
1000,10,0.084,0.049,0.026
1000,15,0.080,0.047,0.027
1000,20,0.079,0.053,0.025
1000,25,0.080,0.051,0.025
1000,30,0.077,0.051,0.025
1000,35,0.084,0.067,0.024
1000,40,0.081,0.066,0.024
1000,45,0.077,0.069,0.024
1000,50,0.083,0.068,0.025
1100,5,0.098,0.054,0.041
1100,10,0.093,0.052,0.032
1100,15,0.091,0.060,0.032
1100,20,0.095,0.063,0.030
1100,25,0.087,0.059,0.030
1100,30,0.087,0.059,0.029
1100,35,0.090,0.081,0.028
1100,40,0.090,0.078,0.028
1100,45,0.093,0.088,0.028
1100,50,0.100,0.080,0.032
1200,5,0.110,0.061,0.037
1200,10,0.102,0.057,0.037
1200,15,0.103,0.058,0.036
